Version,Exeuction,Initial Level,C1 Reading Score,C1 Listening Score,C1 Grammar Score,C2 Reading Score,C2 Listening Score,C2 Grammar Score,C1 Reading Level,C1 Listening Level,C1 Grammar Level,C2 Reading Level,C2 Listening Level,C2 Grammar Level,Final Reading,Final Listening,Final Grammar,Final Result
1,1,Basic,60,60,60,100,100,100,B2,B2,B2,B1,B1,B1,,,,
1,2,I am not sure,100,100,100,100,100,100,B3,B3,B3,I2,I2,I2,,,,
1,3,Intermediate,100,100,100,100,100,100,I2,I2,I2,A1,A1,A1,,,,
1,4,Advanced,100,100,100,100,100,100,A2,A2,A2,A3,A3,A3,,,,
1,5,Advanced,50,40,50,100,100,100,A2,A2,A2,I3,I2,I3,,,,
1,6,Intermediate,100,60,60,100,100,100,I2,I2,I2,I1,I1,I1,,,,
1,7,Intermediate,80,80,80,100,100,100,I2,I2,I2,I3,I3,I3,,,,
1,8,Advanced,20,20,20,20,20,20,A2,A2,A2,I1,I1,I1,,,,
1,9,Intermediate,80,80,80,20,20,20,I2,I2,I2,I3,I3,I3,,,,
1,10,Advanced,60,60,60,60,60,60,A2,A2,A2,A1,A1,A1,,,,
1,11,Intermediate,0,0,0,0,0,0,I2,I2,I2,B1,B1,B1,,,,
1,12,Intermediate,20,60,100,100,100,100,I2,I2,I2,B1,I1,A1,,,,
1,13,Basic,100,100,100,100,100,100,B2,B2,B2,I1,I1,I1,,,,